1: Wiseman4 is thinking
2: Wiseman4 is thinking
3: Wiseman4 is thinking
4: Wiseman4 is thinking
5: Wiseman4 is thinking
6: Wiseman4 is thinking
7: Wiseman4 is thinking
8: Wiseman4 is thinking
9: Wiseman4 is thinking
454: Wiseman4 couldn't take right fork, now waiting
455: Wiseman4 couldn't take right fork, now waiting
456: Wiseman4 couldn't take right fork, now waiting
457: Wiseman4 couldn't take right fork, now waiting
458: Wiseman4 couldn't take right fork, now waiting
459: Wiseman4 couldn't take right fork, now waiting
460: Wiseman4 couldn't take right fork, now waiting
461: Wiseman4 couldn't take right fork, now waiting
462: Wiseman4 couldn't take right fork, now waiting
463: Wiseman4 couldn't take right fork, now waiting
464: Wiseman4 couldn't take right fork, now waiting
465: Wiseman4 couldn't take right fork, now waiting
466: Wiseman4 couldn't take right fork, now waiting
467: Wiseman4 couldn't take right fork, now waiting
468: Wiseman4 couldn't take right fork, now waiting
469: Wiseman4 couldn't take right fork, now waiting
470: Wiseman4 couldn't take right fork, now waiting
471: Wiseman4 couldn't take right fork, now waiting
472: Wiseman4 couldn't take right fork, now waiting
473: Wiseman4 couldn't take right fork, now waiting
474: Wiseman4 couldn't take right fork, now waiting
475: Wiseman4 couldn't take right fork, now waiting
476: Wiseman4 couldn't take right fork, now waiting
477: Wiseman4 couldn't take right fork, now waiting
478: Wiseman4 couldn't take right fork, now waiting
479: Wiseman4 couldn't take right fork, now waiting
480: Wiseman4 couldn't take right fork, now waiting
481: Wiseman4 couldn't take right fork, now waiting
482: Wiseman4 couldn't take right fork, now waiting
483: Wiseman4 couldn't take right fork, now waiting
484: Wiseman4 couldn't take right fork, now waiting
485: Wiseman4 couldn't take right fork, now waiting
486: Wiseman4 couldn't take right fork, now waiting
487: Wiseman4 couldn't take right fork, now waiting
488: Wiseman4 couldn't take right fork, now waiting
489: Wiseman4 couldn't take right fork, now waiting
490: Wiseman4 couldn't take right fork, now waiting
491: Wiseman4 couldn't take right fork, now waiting
492: Wiseman4 couldn't take right fork, now waiting
493: Wiseman4 couldn't take right fork, now waiting
